epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,108.105,1.12302,1.65544,0.01733,0.70345,0.66667,0.80298,0.65482,1.63423,1.19124,0.01084,2.89861e-05,2.89861e-05,2.89861e-05
43,111.067,0.47704,2.91988,0.00952,0.69199,0.67241,0.80379,0.65574,1.63195,1.22929,0.01072,2.91983e-05,2.91983e-05,2.91983e-05
44,113.895,0.99769,1.45627,0.01364,0.69199,0.67241,0.80379,0.65574,1.63195,1.22929,0.01072,2.93869e-05,2.93869e-05,2.93869e-05
45,116.649,0.62149,1.59152,0.01046,0.66946,0.67475,0.80373,0.64843,1.63267,1.26607,0.01067,2.9552e-05,2.9552e-05,2.9552e-05
46,119.508,1.31264,1.81362,0.02222,0.66946,0.67475,0.80373,0.64843,1.63267,1.26607,0.01067,2.96935e-05,2.96935e-05,2.96935e-05
47,122.349,1.02237,1.22022,0.01112,0.69026,0.67484,0.79265,0.64048,1.64843,1.30074,0.01149,2.98114e-05,2.98114e-05,2.98114e-05
48,124.871,1.02186,1.36211,0.01356,0.69026,0.67484,0.79265,0.64048,1.64843,1.30074,0.01149,2.99058e-05,2.99058e-05,2.99058e-05
49,127.376,1.18163,1.6591,0.01441,0.68042,0.67907,0.80669,0.62718,1.66895,1.2406,0.01184,2.99766e-05,2.99766e-05,2.99766e-05
50,130.239,1.08629,1.08885,0.01329,0.68042,0.67907,0.80669,0.62718,1.66895,1.2406,0.01184,3.00238e-05,3.00238e-05,3.00238e-05
51,133.146,0.92756,1.27022,0.01052,0.6839,0.66522,0.80368,0.62164,1.6908,1.26351,0.01235,3.00475e-05,3.00475e-05,3.00475e-05
52,135.456,1.07424,1.05048,0.00953,0.6839,0.66522,0.80368,0.62164,1.6908,1.26351,0.01235,3.00476e-05,3.00476e-05,3.00476e-05
53,138.322,0.79429,1.27668,0.01236,0.6839,0.66522,0.80368,0.62164,1.6908,1.26351,0.01235,3.00242e-05,3.00242e-05,3.00242e-05
54,141.095,1.08401,1.82287,0.01844,0.79379,0.6593,0.87274,0.66295,1.70698,1.22075,0.01255,2.99772e-05,2.99772e-05,2.99772e-05
55,143.916,1.07671,1.31613,0.01102,0.79379,0.6593,0.87274,0.66295,1.70698,1.22075,0.01255,2.99066e-05,2.99066e-05,2.99066e-05
56,146.664,0.83536,1.61139,0.00837,0.79379,0.6593,0.87274,0.66295,1.70698,1.22075,0.01255,2.98125e-05,2.98125e-05,2.98125e-05
57,149.844,0.81922,1.07782,0.00982,0.8691,0.65208,0.87274,0.67118,1.70392,1.21519,0.01243,2.96948e-05,2.96948e-05,2.96948e-05
58,153.337,0.81803,1.08809,0.00764,0.8691,0.65208,0.87274,0.67118,1.70392,1.21519,0.01243,2.95535e-05,2.95535e-05,2.95535e-05
59,156.474,1.10458,1.37617,0.01613,0.8691,0.65208,0.87274,0.67118,1.70392,1.21519,0.01243,2.93887e-05,2.93887e-05,2.93887e-05
60,159.491,1.1146,1.88957,0.01823,0.67187,0.66687,0.87171,0.65346,1.69278,1.28051,0.01298,2.92003e-05,2.92003e-05,2.92003e-05
61,162.236,0.70739,1.11127,0.00768,0.67187,0.66687,0.87171,0.65346,1.69278,1.28051,0.01298,2.89884e-05,2.89884e-05,2.89884e-05
62,165.165,0.89574,0.981,0.01561,0.67187,0.66687,0.87171,0.65346,1.69278,1.28051,0.01298,2.87529e-05,2.87529e-05,2.87529e-05
63,167.907,1.44973,2.99195,0.03051,0.6139,0.66939,0.78984,0.57975,1.70145,1.3315,0.01309,2.84938e-05,2.84938e-05,2.84938e-05
64,170.637,0.87104,1.27509,0.00812,0.6139,0.66939,0.78984,0.57975,1.70145,1.3315,0.01309,2.82112e-05,2.82112e-05,2.82112e-05
65,173.38,1.05577,1.13782,0.0115,0.6139,0.66939,0.78984,0.57975,1.70145,1.3315,0.01309,2.7905e-05,2.7905e-05,2.7905e-05
